State,City,Income,Poverty,Highschool
WI,Downsville CDP,51875.0,11.5,100.0
TX,Live Oak,61043.0,12.3,91.8
AK,Pilot Station,33125.0,39.3,72.6
CA,Richgrove CDP,28333.0,49.9,30.2
CO,Holly Hills CDP,106944.0,5.4,97.4
OK,Pittsburg town,38750.0,27.9,76.5
FL,Indialantic town,65305.0,12.9,97.3
PA,Newport borough,36172.0,25.5,88.8
WI,Steuben village,50313.0,17.4,95.7
PA,Richfield CDP,46471.0,5.4,80.5
FL,Clearwater,44198.0,16.0,89.3
MN,International Falls,34528.0,21.7,87.4
PA,Dicksonville CDP,32125.0,33.0,94.1
FL,San Castle CDP,49107.0,10.9,66.5
NC,Asheville,43334.0,17.3,92.3
TX,McKinney,81459.0,7.4,92.2
OH,Killbuck village,40347.0,19.8,79.6
TX,Robert Lee,41250.0,15.6,85.3
PA,Beaver Meadows borough,37179.0,17.2,93.8
OH,Massillon,40842.0,19.4,88.4
CA,South Monrovia Island CDP,57292.0,15.5,66.1
MI,Roscommon village,24464.0,57.7,88.6
CA,Upper Lake CDP,32381.0,32.4,74.8
NE,Eagle village,56111.0,15.1,89.4
VT,West Brattleboro CDP,33504.0,16.5,87.4
IL,South Pekin village,45875.0,15.4,86.0
AL,Russellville,29859.0,34.4,68.9
UT,Wales town,46250.0,16.5,91.3
CA,Waterloo CDP,109485.0,0.0,96.9
NY,Troy,38954.0,26.1,84.7
CA,Bradley CDP,53542.0,21.6,86.2
OH,Mitiwanga CDP,55000.0,31.3,70.2
IA,Palo,69444.0,5.6,96.8
SD,Oglala CDP,21757.0,63.1,81.8
WI,West Milwaukee village,33330.0,24.2,79.5
MN,St. Bonifacius,82891.0,5.3,94.2
OH,Bloomdale village,55694.0,6.5,90.6
NM,Cuyamungue CDP,50167.0,13.8,86.1
NJ,Ogdensburg borough,79271.0,4.4,94.7
NY,Lido Beach CDP,143333.0,2.1,96.4
PA,Pine Ridge CDP,53211.0,18.9,79.0
NY,Pelham village,123672.0,2.9,92.7
OH,Peninsula village,93194.0,2.6,97.5
TX,Edgewater Estates CDP,31083.0,0.0,19.6
IL,McLean village,64531.0,5.5,89.3
FL,Holmes Beach,54543.0,16.2,98.6
MO,Vandalia,33958.0,22.5,76.7
NY,West Haverstraw village,75455.0,11.7,80.0
WA,Buckley,54189.0,15.5,82.0
AL,Moody,61049.0,9.9,87.9
NJ,Leisuretowne CDP,35045.0,7.4,83.8
NY,Durhamville CDP,35852.0,53.0,87.0
TN,Clarksville,46947.0,17.4,92.2
OH,Garrettsville village,53750.0,11.1,94.9
CA,McFarland,34032.0,36.8,44.4
IA,Bussey,36250.0,17.4,88.9
GA,Smyrna,62363.0,13.4,90.5
MI,Farmington,62261.0,6.4,97.4
MT,Hot Springs town,21000.0,31.2,88.9
IA,Floyd,41250.0,11.8,81.7
NC,Sneads Ferry CDP,43971.0,28.0,89.2
ME,Calais,33906.0,21.4,84.6
IN,Williams CDP,43139.0,27.0,94.2
VT,Barnet CDP,62361.0,0.0,97.8
